state,x,y
Jammu Kashmir,-145.0, 310.0
Himachal Pradesh,-130.0, 264.0
Punjab,-165.0, 232.0
Haryana,-142.0, 193.0
Uttarakhand,-80.0, 212.0
Rajasthan,-212.0, 127.0
Uttar Pradesh,-48.0, 129.0
Bihar,91.0, 86.0
Sikkim,152.0, 140.0
Assam,244.0, 114.0
Meghalaya,217.0, 90.0
Manipur,287.0, 76.0
Mizoram,267.0, 33.0
Tripura,233.0, 38.0
Arunachal Pradesh,297.0, 111.0
Nagaland,301.0, 121.0
West Bengal,152.0, 19.0
Orissa,71.0, 19.0
Jharkhand,96.0, 89.0
Chattisgarh,29.0, -9.0
Madhya Pradesh, -103.0, 19.0
Gujarat, -239.0, -2.0
Maharashtra, -163.0, -77.0
Goa,-216.0, -199.0
Karnataka,-163.0, -205.0
Andhra Pradesh, -75.0, -204.0
Kerala ,-89.0, -315.0
Tamil Nadu,-33.0, -210.0
Telangana, -96, -110